time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-30T12:13:16.000Z,53.4213,-163.5867,33,2.5,ml,,,,0.15,us,us10004afl,2016-01-28T14:22:10.402Z,"159km S of False Pass, Alaska",earthquake,9.3,9.8,,,reviewed,ak,ak
2015-12-30T11:53:51.690Z,40.9013,142.7915,51.54,4.5,mb,,134,1.146,0.6,us,us10004aeg,2016-01-29T09:25:55.226Z,"117km ENE of Hachinohe, Japan",earthquake,7.5,7.7,0.136,20,reviewed,us,us
2015-12-30T11:22:48.500Z,35.9428,-97.2997,7.69,3.2,ml,,67,,0.56,us,us10004aeb,2016-01-29T08:59:00.407Z,"4km W of Langston, Oklahoma",earthquake,1.4,7.5,,,reviewed,tul,tul
2015-12-30T11:08:36.000Z,-21.9779,-174.4701,46.15,5,mb,,50,7.88,0.85,us,us10004ae8,2016-01-29T08:44:27.924Z,"86km SE of `Ohonua, Tonga",earthquake,8.5,5.4,0.043,177,reviewed,us,us
2015-12-30T11:01:13.800Z,19.2507,-64.8683,12,2.7,Md,4,309.6,0.86238267,0.2,pr,pr15364003,2016-01-28T14:13:11.280Z,"96km NNW of Road Town, British Virgin Islands",earthquake,8.5,11.9,0,4,reviewed,pr,pr
2015-12-30T10:46:44.000Z,19.3214,121.1273,28.55,4.5,mb,,51,3.479,0.95,us,us10004ae4,2016-01-29T07:57:16.830Z,"78km N of Namuac, Philippines",earthquake,7.7,4.7,0.085,43,reviewed,us,us
2015-12-30T10:17:25.280Z,15.3698,145.8288,130.5,4.3,mb,,107,0.133,0.78,us,us10004btq,2016-01-29T07:37:48.511Z,"19km NNE of Saipan, Northern Mariana Islands",earthquake,12.4,4.6,0.143,14,reviewed,us,us
2015-12-30T09:54:41.000Z,60.8131,-151.5066,71.4,2.5,ml,,,,0.73,ak,ak12343699,2016-01-29T07:21:12.083Z,"18km NW of Nikiski, Alaska",earthquake,0.2,0.3,,,reviewed,ak,ak
2015-12-30T09:00:21.700Z,-24.3892,-179.8923,513.83,4.5,mb,,111,12.774,0.65,us,us10004btp,2016-01-29T06:21:31.368Z,"South of the Fiji Islands",earthquake,14.2,9.8,0.11,24,reviewed,us,us
2015-12-30T08:55:31.000Z,53.3778,-163.4871,19.7,2.5,ml,,,,0.25,us,us10004bax,2016-02-02T12:16:05.040Z,"164km S of False Pass, Alaska",earthquake,9.5,9.8,,20,reviewed,ak,ak
2015-12-30T07:39:29.310Z,48.5865,-123.3003333,52.521,4.79,ml,27,81,0.1167,0.19,uw,uw61114971,2016-02-16T09:53:34.040Z,"17km NNE of Victoria, Canada",earthquake,0.43,0.67,0.137,178,reviewed,uw,uw
2015-12-30T07:36:39.000Z,52.5474,-171.5387,54.6,3,ml,,,,0.36,us,us10004baw,2016-02-02T07:45:38.040Z,"20km WNW of Amukta Island, Alaska",earthquake,13.7,9.7,,21,reviewed,ak,ak
2015-12-30T07:32:48.600Z,35.6656,-97.399,5.994,3.1,ml,,53,,0.74,us,us10004adl,2016-02-04T12:16:09.040Z,"7km ENE of Edmond, Oklahoma",earthquake,2.1,6.2,,,reviewed,tul,tul
